Employee_ID,Date,Status,Department
EMP514,2024-03-01,Present,Finance
EMP540,2024-03-02,Present,Finance
EMP518,2024-03-03,Present,Sales
EMP525,2024-03-04,Present,Finance
EMP528,2024-03-05,Present,IT
EMP521,2024-03-06,Present,Sales
EMP539,2024-03-07,Absent,Finance
EMP520,2024-03-08,Present,IT
EMP537,2024-03-09,Present,Finance
EMP519,2024-03-10,Leave,Finance
EMP528,2024-03-11,Present,HR
EMP503,2024-03-12,Leave,Finance
EMP506,2024-03-13,Present,Finance
EMP527,2024-03-14,Absent,IT
EMP527,2024-03-15,Present,IT
EMP503,2024-03-16,Absent,HR
EMP521,2024-03-17,Leave,Finance
EMP511,2024-03-18,Present,HR
EMP544,2024-03-19,Leave,Finance
EMP502,2024-03-20,Present,Sales
EMP521,2024-03-21,Present,Sales
EMP543,2024-03-22,Present,HR
EMP501,2024-03-23,Present,HR
EMP523,2024-03-24,Present,HR
EMP533,2024-03-25,Present,IT
EMP526,2024-03-26,Present,IT
EMP540,2024-03-27,Absent,IT
EMP500,2024-03-28,Absent,HR
EMP507,2024-03-29,Present,Finance
EMP522,2024-03-30,Present,Sales
EMP537,2024-03-31,Present,HR
EMP505,2024-04-01,Present,IT
EMP521,2024-04-02,Present,IT
EMP524,2024-04-03,Present,HR
EMP517,2024-04-04,Present,HR
EMP516,2024-04-05,Leave,IT
EMP511,2024-04-06,Present,Finance
EMP505,2024-04-07,Present,IT
EMP525,2024-04-08,Present,IT
EMP526,2024-04-09,Present,HR
EMP507,2024-04-10,Present,Finance
EMP518,2024-04-11,Present,IT
EMP541,2024-04-12,Present,IT
EMP500,2024-04-13,Present,Sales
EMP528,2024-04-14,Leave,HR
EMP544,2024-04-15,Absent,Sales
EMP548,2024-04-16,Present,Sales
EMP534,2024-04-17,Present,IT
EMP539,2024-04-18,Present,HR
EMP513,2024-04-19,Present,Finance
EMP534,2024-04-20,Present,IT
EMP547,2024-04-21,Present,Finance
EMP544,2024-04-22,Present,Finance
EMP519,2024-04-23,Present,HR
EMP548,2024-04-24,Present,Sales
EMP512,2024-04-25,Leave,HR
EMP537,2024-04-26,Leave,Finance
EMP548,2024-04-27,Present,IT
EMP545,2024-04-28,Present,Finance
EMP548,2024-04-29,Absent,IT
EMP507,2024-04-30,Present,IT
EMP542,2024-05-01,Absent,HR
EMP519,2024-05-02,Present,Finance
EMP532,2024-05-03,Absent,Sales
EMP525,2024-05-04,Present,Finance
EMP538,2024-05-05,Absent,Finance
EMP520,2024-05-06,Leave,Sales
EMP548,2024-05-07,Present,HR
EMP541,2024-05-08,Present,Finance
EMP542,2024-05-09,Leave,Finance
EMP540,2024-05-10,Present,IT
EMP508,2024-05-11,Absent,Finance
EMP523,2024-05-12,Present,Sales
EMP536,2024-05-13,Present,IT
EMP548,2024-05-14,Present,HR
EMP540,2024-05-15,Present,IT
EMP516,2024-05-16,Absent,Sales
EMP523,2024-05-17,Present,Sales
EMP520,2024-05-18,Present,IT
EMP538,2024-05-19,Present,HR
EMP540,2024-05-20,Present,IT
EMP538,2024-05-21,Absent,HR
EMP512,2024-05-22,Leave,IT
EMP510,2024-05-23,Present,Sales
EMP545,2024-05-24,Absent,Finance
EMP518,2024-05-25,Absent,Finance
EMP510,2024-05-26,Present,HR
EMP512,2024-05-27,Leave,HR
EMP545,2024-05-28,Present,HR
EMP544,2024-05-29,Present,Sales
EMP500,2024-05-30,Absent,IT
EMP539,2024-05-31,Present,Sales
EMP543,2024-06-01,Absent,Finance
EMP518,2024-06-02,Absent,HR
EMP511,2024-06-03,Present,IT
EMP507,2024-06-04,Absent,Finance
EMP507,2024-06-05,Present,Finance
EMP544,2024-06-06,Present,Finance
EMP511,2024-06-07,Present,Sales
EMP547,2024-06-08,Leave,HR
EMP532,2024-06-09,Present,Finance
EMP544,2024-06-10,Present,HR
EMP525,2024-06-11,Present,Sales
EMP538,2024-06-12,Present,Finance
EMP527,2024-06-13,Present,Sales
EMP504,2024-06-14,Present,Sales
EMP507,2024-06-15,Present,HR
EMP524,2024-06-16,Present,Finance
EMP526,2024-06-17,Absent,Sales
EMP545,2024-06-18,Present,Finance
EMP522,2024-06-19,Present,HR
EMP529,2024-06-20,Leave,Sales
EMP544,2024-06-21,Present,HR
EMP546,2024-06-22,Leave,Finance
EMP522,2024-06-23,Present,Finance
EMP548,2024-06-24,Absent,HR
EMP546,2024-06-25,Present,IT
EMP519,2024-06-26,Present,Sales
EMP517,2024-06-27,Present,Finance
EMP517,2024-06-28,Absent,Finance
EMP501,2024-06-29,Present,Sales
EMP503,2024-06-30,Present,HR
EMP529,2024-07-01,Absent,HR
EMP532,2024-07-02,Absent,HR
EMP535,2024-07-03,Present,IT
EMP517,2024-07-04,Absent,IT
EMP536,2024-07-05,Absent,Finance
EMP518,2024-07-06,Present,HR
